traceID,order,structtype,method1,method2,m1_para,m2_para,class1,class2,m1_return,m2_return
0,0,null,path.RESTCookieSessionFilter.doFilter,path.AuthService.validateSession,null,null,RESTCookieSessionFilter,AuthService,null,null
0,1,null,path.AuthService.validateSession,path.AuthServiceImpl.getSession,null,null,AuthService,AuthServiceImpl,null,null
0,2,null,path.RESTCookieSessionFilter.doFilter,path.ServiceLocator.instance,null,null,RESTCookieSessionFilter,ServiceLocator,null,null
0,3,null,path.RESTCookieSessionFilter.doFilter,path.ServiceLocator.getService,null,null,RESTCookieSessionFilter,ServiceLocator,null,null
0,4,null,path.ServiceLocator.getService,path.BookingServiceImpl.initialization,null,null,ServiceLocator,BookingServiceImpl,null,null
0,5,null,path.BookingServiceImpl.initialization,path.ConnectionManager.getConnectionManager,null,null,BookingServiceImpl,ConnectionManager,null,null
0,6,null,path.BookingServiceImpl.initialization,path.ConnectionManager.getDB,null,null,BookingServiceImpl,ConnectionManager,null,null
0,7,null,path.RESTCookieSessionFilter.doFilter,path.ServiceLocator.instance,null,null,RESTCookieSessionFilter,ServiceLocator,null,null
0,8,null,path.RESTCookieSessionFilter.doFilter,path.ServiceLocator.getService,null,null,RESTCookieSessionFilter,ServiceLocator,null,null
0,9,null,path.ServiceLocator.getService,path.BookingServiceImpl.initialization,null,null,ServiceLocator,BookingServiceImpl,null,null
0,10,null,path.BookingServiceImpl.initialization,path.ConnectionManager.getConnectionManager,null,null,BookingServiceImpl,ConnectionManager,null,null
0,11,null,path.BookingServiceImpl.initialization,path.ConnectionManager.getDB,null,null,BookingServiceImpl,ConnectionManager,null,null
0,12,null,path.RESTCookieSessionFilter.doFilter,path.BookingsREST.getBookingsByUser,null,null,RESTCookieSessionFilter,BookingsREST,null,null
0,13,null,path.BookingsREST.getBookingsByUser,path.BookingServiceImpl.getBookingsByUser,null,null,BookingsREST,BookingServiceImpl,null,null
1,0,null,path.RESTCookieSessionFilter.doFilter,path.ServiceLocator.instance,null,null,RESTCookieSessionFilter,ServiceLocator,null,null
1,1,null,path.RESTCookieSessionFilter.doFilter,path.ServiceLocator.getService,null,null,RESTCookieSessionFilter,ServiceLocator,null,null
1,2,null,path.ServiceLocator.getService,path.AuthServiceImpl.initialization,null,null,ServiceLocator,AuthServiceImpl,null,null
1,3,null,path.AuthServiceImpl.initialization,path.ConnectionManager.getConnectionManager,null,null,AuthServiceImpl,ConnectionManager,null,null
1,4,null,path.AuthServiceImpl.initialization,path.ConnectionManager.getDB,null,null,AuthServiceImpl,ConnectionManager,null,null
1,5,null,path.RESTCookieSessionFilter.doFilter,path.ServiceLocator.instance,null,null,RESTCookieSessionFilter,ServiceLocator,null,null
1,6,null,path.RESTCookieSessionFilter.doFilter,path.ServiceLocator.getService,null,null,RESTCookieSessionFilter,ServiceLocator,null,null
1,7,null,path.ServiceLocator.getService,path.CustomerServiceImpl.initialization,null,null,ServiceLocator,CustomerServiceImpl,null,null
1,8,null,path.CustomerServiceImpl.initialization,path.ConnectionManager.getConnectionManager,null,null,CustomerServiceImpl,ConnectionManager,null,null
1,9,null,path.CustomerServiceImpl.initialization,path.ConnectionManager.getDB,null,null,CustomerServiceImpl,ConnectionManager,null,null
1,10,null,path.RESTCookieSessionFilter.doFilter,path.ServiceLocator.instance,null,null,RESTCookieSessionFilter,ServiceLocator,null,null
1,11,null,path.RESTCookieSessionFilter.doFilter,path.ServiceLocator.getService,null,null,RESTCookieSessionFilter,ServiceLocator,null,null
1,12,null,path.ServiceLocator.getService,path.AuthServiceImpl.initialization,null,null,ServiceLocator,AuthServiceImpl,null,null
1,13,null,path.AuthServiceImpl.initialization,path.ConnectionManager.getConnectionManager,null,null,AuthServiceImpl,ConnectionManager,null,null
1,14,null,path.AuthServiceImpl.initialization,path.ConnectionManager.getDB,null,null,AuthServiceImpl,ConnectionManager,null,null
1,15,null,path.RESTCookieSessionFilter.doFilter,path.ServiceLocator.instance,null,null,RESTCookieSessionFilter,ServiceLocator,null,null
1,16,null,path.RESTCookieSessionFilter.doFilter,path.ServiceLocator.getService,null,null,RESTCookieSessionFilter,ServiceLocator,null,null
