class_id,class_name,cluster_id
0,AuthService,0
1,RESTCookieSessionFilter,0
2,FlightServiceImpl,1
3,FlightService,1
4,AcmeAirConfiguration,1
5,Loader,2
6,LoaderREST,2
7,AddressInfo,3
8,CustomerInfo,3
9,ConnectionManager,4
10,ServiceLocator,4
11,AuthServiceImpl,4
12,SessionLoader,5
13,FlightLoader,5
14,CustomerLoader,5
15,BookingLoader,5
16,AirportCodeMapping,5
17,FlightsREST,6
18,CustomerREST,7
19,CustomerServiceImpl,8
20,AcmeAirApp,9
21,KeyGenerator,10
22,SupportWebSocket,11
23,BookingsREST,12
24,LoginREST,13
25,CustomerService,14
26,BookingServiceImpl,15
