1589149685604,book_selected_flight,Root calls RESTCookieSessionFilter,<None>:Root:<None>,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter
1589149685606,book_selected_flight,RESTCookieSessionFilter calls AuthService,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter,acmeair/src/main/java/com/acmeair/service/AuthService.java:AuthService:validateSession
1589149685606,book_selected_flight,AuthService calls AuthServiceImpl,acmeair/src/main/java/com/acmeair/service/AuthService.java:AuthService:validateSession,acmeair/src/main/java/com/acmeair/mongo/services/AuthServiceImpl.java:AuthServiceImpl:getSession
1589149685610,book_selected_flight,AuthServiceImpl returns to AuthService,acmeair/src/main/java/com/acmeair/mongo/services/AuthServiceImpl.java:AuthServiceImpl:getSession,acmeair/src/main/java/com/acmeair/service/AuthService.java:AuthService:validateSession
1589149685620,book_selected_flight,AuthService returns to RESTCookieSessionFilter,acmeair/src/main/java/com/acmeair/service/AuthService.java:AuthService:validateSession,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter
1589149685629,book_selected_flight,RESTCookieSessionFilter calls ServiceLocator,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:instance
1589149685629,book_selected_flight,ServiceLocator returns to RESTCookieSessionFilter,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:instance,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter
1589149685629,book_selected_flight,RESTCookieSessionFilter calls ServiceLocator,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService
1589149685631,book_selected_flight,ServiceLocator calls BookingServiceImpl,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:initialization
1589149685631,book_selected_flight,BookingServiceImpl calls ConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:initialization,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getConnectionManager
1589149685632,book_selected_flight,ConnectionManager returns to BookingServiceImpl,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:initialization
1589149685632,book_selected_flight,BookingServiceImpl calls ConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:initialization,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getDB
1589149685632,book_selected_flight,ConnectionManager returns to BookingServiceImpl,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getDB,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:initialization
1589149685633,book_selected_flight,BookingServiceImpl returns to ServiceLocator,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:initialization,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService
1589149685633,book_selected_flight,ServiceLocator returns to RESTCookieSessionFilter,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter
1589149685634,book_selected_flight,RESTCookieSessionFilter calls ServiceLocator,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:instance
1589149685634,book_selected_flight,ServiceLocator returns to RESTCookieSessionFilter,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:instance,acmeair/src/main/java/com/acmeair/web/RESTCookieSessionFilter.java:RESTCookieSessionFilter:doFilter
