1589149368470,click_config_env,Root calls AppConfig,<None>:Root:<None>,acmeair/src/main/java/com/acmeair/web/AppConfig.java:AppConfig:getClasses
1589149368472,click_config_env,AppConfig returns to Root,acmeair/src/main/java/com/acmeair/web/AppConfig.java:AppConfig:getClasses,<None>:Root:<None>
1589149369393,click_config_env,Root calls ServiceLocator,<None>:Root:<None>,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:instance
1589149369398,click_config_env,ServiceLocator returns to Root,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:instance,<None>:Root:<None>
1589149369409,click_config_env,Root calls ServiceLocator,<None>:Root:<None>,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService
1589149369413,click_config_env,ServiceLocator calls BookingServiceImpl,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:initialization
1589149369414,click_config_env,BookingServiceImpl calls ConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:initialization,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getConnectionManager
1589149369415,click_config_env,ConnectionManager returns to BookingServiceImpl,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:initialization
1589149369442,click_config_env,BookingServiceImpl calls ConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:initialization,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getDB
1589149369444,click_config_env,ConnectionManager returns to BookingServiceImpl,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getDB,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:initialization
1589149369445,click_config_env,BookingServiceImpl returns to ServiceLocator,acmeair/src/main/java/com/acmeair/mongo/services/BookingServiceImpl.java:BookingServiceImpl:initialization,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService
1589149369445,click_config_env,ServiceLocator returns to Root,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService,<None>:Root:<None>
1589149369447,click_config_env,Root calls ServiceLocator,<None>:Root:<None>,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:instance
1589149369448,click_config_env,ServiceLocator returns to Root,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:instance,<None>:Root:<None>
1589149369453,click_config_env,Root calls ServiceLocator,<None>:Root:<None>,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService
1589149369460,click_config_env,ServiceLocator calls CustomerServiceImpl,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService,acmeair/src/main/java/com/acmeair/mongo/services/CustomerServiceImpl.java:CustomerServiceImpl:initialization
1589149369460,click_config_env,CustomerServiceImpl calls ConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/CustomerServiceImpl.java:CustomerServiceImpl:initialization,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getConnectionManager
1589149369461,click_config_env,ConnectionManager returns to CustomerServiceImpl,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/CustomerServiceImpl.java:CustomerServiceImpl:initialization
1589149369461,click_config_env,CustomerServiceImpl calls ConnectionManager,acmeair/src/main/java/com/acmeair/mongo/services/CustomerServiceImpl.java:CustomerServiceImpl:initialization,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getDB
1589149369462,click_config_env,ConnectionManager returns to CustomerServiceImpl,acmeair/src/main/java/com/acmeair/mongo/ConnectionManager.java:ConnectionManager:getDB,acmeair/src/main/java/com/acmeair/mongo/services/CustomerServiceImpl.java:CustomerServiceImpl:initialization
1589149369472,click_config_env,CustomerServiceImpl returns to ServiceLocator,acmeair/src/main/java/com/acmeair/mongo/services/CustomerServiceImpl.java:CustomerServiceImpl:initialization,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService
1589149369488,click_config_env,ServiceLocator returns to Root,acmeair/src/main/java/com/acmeair/service/ServiceLocator.java:ServiceLocator:getService,<None>:Root:<None>
