class_id,class_name,cluster_id
0,TradeServletAction,0
1,TradeAppServlet,0
2,OrdersAlertFilter,0
3,Log,1
4,TradeConfig,1
5,TradeSLSBBean,2
6,TradeAction,2
7,KeySequenceDirect,3
8,KeyBlock,3
9,KeyBlock::KeyBlockIterator,3
10,TimerStat,4
11,DTStreamer3MDB,4
12,RecentStockChangeList,4
13,AccountDataBean,5
14,AccountProfileDataBean,5
15,PingEJBLocalDecorator,6
16,PingEJBLocal,6
17,PingServletCDI,6
18,ActionMessage,7
19,ActionDecoder,7
20,PingCDIBean,8
21,PingInterceptor,8
22,JsonDecoder,9
23,JsonMessage,9
24,PingWebSocketJson,9
25,JsonEncoder,9
26,PingServlet2Include,10
27,PingServlet2IncludeRcv,10
28,PingServlet2ServletRcv,10
29,PingServlet2Servlet,10
30,QuoteData,11
31,TradeActionProducer,11
32,ExternalContextProducer,11
33,QuoteJSF,11
34,QuoteDataBean,12
35,TradeScenarioServlet,13
36,PingBean,14
37,MarketSummaryWebSocket,15
38,RunStatsDataBean,16
39,TradeWebContextListener,17
40,MarketSummaryDataBean,18
41,JSFLoginFilter,19
42,PingJDBCRead,20
43,PingServlet2Jsp,21
44,PingCDIJSFBean,22
45,TradeDirect,23
46,FinancialUtils,24
47,PingJDBCWrite,25
48,PingJDBCRead2JSP,26
49,PingServlet2DB,27
50,TradeBuildDB,28
51,PingServletCDIBeanManagerViaCDICurrent,29
52,PingUpgradeServlet,30
53,OrderDataBean,31
54,TradeConfigServlet,32
55,MarketSummarySingleton,33
56,HoldingDataBean,34
57,PingServlet2PDF,35
58,MDBStats,36
59,PingServlet2SessionLocal,37
60,PingServletCDIBeanManagerViaJNDI,38
