class_id,class_name,cluster_id
0,OrderValidator,0
1,UpdateCartQuantitiesController,0
2,Category,1
3,SqlMapCategoryDao,1
4,PetStoreImpl,1
5,Product,1
6,SqlMapProductDao,1
7,ViewCategoryController,1
8,Item,1
9,Cart,1
10,CartItem,1
11,OrderForm,1
12,OrderFormController,1
13,Order,1
14,SqlMapItemDao,1
15,SearchProductsController,2
16,SqlMapProductDao::ProductSearch,2
17,AccountForm,3
18,AccountFormController,3
19,SqlMapSequenceDao,4
20,Sequence,4
21,SqlMapOrderDao,4
22,UserSession,5
23,SqlMapAccountDao,5
24,Account,5
25,RemoveItemFromCartController,6
26,AccountValidator,7
27,SignonController,8
28,ViewCartController,9
29,ViewProductController,10
30,LineItem,11
31,ViewItemController,12
32,AddItemToCartController,13
