traceID,order,structtype,method1,method2,m1_para,m2_para,class1,class2,m1_return,m2_return
0,0,null,path.ImageServlet.doGet,path.ImageServlet.performTask,null,null,ImageServlet,ImageServlet,null,null
0,1,null,path.ImageServlet.performTask,path.Util.debug,null,null,ImageServlet,Util,null,null
0,2,null,path.ImageServlet.performTask,path.CatalogMgr.getItemImageBytes,null,null,ImageServlet,CatalogMgr,null,null
0,3,null,path.CatalogMgr.getItemImageBytes,path.CatalogMgr.getInv,null,null,CatalogMgr,CatalogMgr,null,null
0,4,null,path.CatalogMgr.getInv,path.Inventory.Inventory [overloaded_#001],null,null,CatalogMgr,Inventory,null,null
0,5,null,path.CatalogMgr.getItemImageBytes,path.Inventory.getImgbytes,null,null,CatalogMgr,Inventory,null,null
1,0,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
1,1,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
1,2,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
1,3,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
1,4,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
1,5,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
1,6,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
1,7,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
1,8,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
1,9,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
1,10,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
1,11,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
1,12,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
1,13,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
1,14,null,path.AccountBean.getCustomer,path.AccountBean.isRegister,null,null,AccountBean,AccountBean,null,null
1,15,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
1,16,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
1,17,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
2,0,null,path.ShoppingCartBean.getSize,path.ShoppingCartBean.getItems,null,null,ShoppingCartBean,ShoppingCartBean,null,null
